"names","x","y","z","delta_coef","theta_coef","alpha_coef","beta_coef","gamma_coef"
"Left-Caudate",-11.6611255411255,11.2344588744589,12.7374891774892,-0.000610537931379204,-0.000392606512836008,0.000503426969153286,0.000147585230216082,0.00031619417507423
"Left-Putamen",-23.7605837496713,4.30305022350776,2.10386536944517,-0.000414856020074535,-0.000407976093073337,0.000427806658742367,0.00015805796114705,0.000227114921376451
"Left-Hippocampus",-23.9002923026957,-19.8480025982462,-11.4303345241962,-0.000524495638719062,-0.000126916275291188,0.000356639556599492,0.000274648618990305,-0.0000313864719084687
"Left-Amygdala",-21.3053398058252,-1.14174757281553,-17.8592233009709,-0.000527515984651664,-0.000124902031023412,0.000513386122753886,0.000267416845288479,-0.000218542581912102
"Right-Caudate",16.379277262552,11.4128557723057,12.3431403901503,-0.000610537931379204,-0.000392606512836008,0.000503426969153286,0.000147585230216082,0.00031619417507423
"Right-Putamen",28.171581769437,4.26930294906166,2.1916890080429,-0.000414856020074535,-0.000407976093073337,0.000427806658742367,0.00015805796114705,0.000227114921376451
"Right-Hippocampus",28.8066752660432,-19.5743308610126,-11.6410835214447,-0.000524495638719062,-0.000126916275291188,0.000356639556599492,0.000274648618990305,-0.0000313864719084687
"Right-Amygdala",25.7426433915212,-1.80897755610973,-17.3546134663342,-0.000527515984651664,-0.000124902031023412,0.000513386122753886,0.000267416845288479,-0.000218542581912102
"l.bankssts",-51.5250069851914,-39.3450684548757,10.1098072087175,-0.00125968035591823,-0.000422272231950036,0.00057590968497464,0.000691353900673756,0.000405638651388295
"l.caudalanteriorcingulate",-2.53215579710145,22.6915760869565,30.705615942029,-0.000145825869754807,-0.00019273906439105,0.000178223322413352,0.0000854083477950589,0.0000299051480050791
"l.caudalmiddlefrontal",-34.0843214756258,15.7094354920442,50.0280733758995,-0.000852835974732815,-0.000156493374981179,0.000319780328009384,0.000352324727771802,0.000223591802960012
"l.cuneus",-4.94639956686519,-77.1437466161343,21.9729290741743,-0.00178814566240968,-0.000535561731344862,0.000537924036521178,0.000871738322894066,0.000735097607648828
"l.entorhinal",-21.1928137651822,-3.19331983805668,-30.7322874493927,-0.000504200321400322,-0.000209002210758155,0.000329696171091044,0.000258564920730063,0.0000692403534455766
"l.fusiform",-32.7818946366233,-39.3155347508727,-20.7168359251031,-0.000768357314285454,-0.000271903193937493,0.000405260182944889,0.000405974649183813,0.00019751207240221
"l.inferiorparietal",-41.177792,-66.197504,34.58912,-0.00127534920049126,-0.000361748634971337,0.000538140442208575,0.00059650986301224,0.000390854857003457
"l.inferiortemporal",-49.882657869934,-30.3149320048472,-22.3672411471657,-0.000760372337717436,-0.000271671296219205,0.000496200687917747,0.000370318522691198,0.0000402951700326797
"l.isthmuscingulate",-4.82927653820149,-42.7227856659905,22.3187964841109,-0.000647765797614828,-0.000262401898677131,0.00024983413320573,0.000387721485534104,0.000275425087239953
"l.lateraloccipital",-30.7421881308034,-84.8458619297537,3.34444893015745,-0.000828520696631153,-0.0000769505576175025,0.000318519935067233,0.000299523188272102,0.000187172233248603
"l.lateralorbitofrontal",-22.4616872649113,35.1326168726491,-15.9257388500806,-0.000656183452564584,-0.00020461705396097,0.000292290599402867,0.00022413825256852,0.000227433301810984
"l.lingual",-11.1102160380813,-65.7485658488954,-2.49127303795923,-0.000644041710148696,-0.000132803050878152,0.000298956546825113,0.0003002889845997,0.000144133681031924
"l.medialorbitofrontal",-2.44785403275969,41.4291934480614,-16.1764461953141,-0.000575387491971834,-0.0000379310583147009,0.000292456202950787,0.000119915312016059,0.0000809819135195198
"l.middletemporal",-55.9070886990011,-20.2206643398724,-12.4513178481165,-0.0009620182510048,-0.000309305972021488,0.000535229286481192,0.00052272412147965,0.000105132277923191
"l.parahippocampal",-21.148532731377,-26.7598194130926,-16.8993227990971,-0.000368479962024482,-0.000239116379222648,0.00024443231320197,0.000259572908515244,0.0000842526087093252
"l.paracentral",-4.36663914120562,-26.6668042939719,62.2648637489678,-0.0013776331978281,-0.000741570061793541,0.000367851163479089,0.000918485925958717,0.000827976345319919
"l.parsopercularis",-46.5768960180104,20.3396651188969,15.9380892078233,-0.000966200450163159,-0.000155234097522317,0.000367941262506385,0.000371716723857807,0.000309635217784945
"l.parsorbitalis",-40.6994451294698,43.9442046855734,-11.5918618988903,-0.000928428309089499,-0.000131318117636256,0.000327499211689997,0.000278669094028212,0.000420340724924979
"l.parstriangularis",-45.6955581761006,35.6717767295597,2.56996855345912,-0.000933340331704145,-0.000190529408136474,0.000350367085206379,0.00033353726220098,0.000301962301059491
"l.pericalcarine",-9.82888977317947,-77.5658575407879,8.94826900119379,-0.00127499723563293,-0.000431950232034267,0.000403600883981483,0.000498545565743717,0.000901759262816944
"l.postcentral",-44.5775840802566,-18.2702902721816,44.9976975577666,-0.000966513968841843,-0.000300923930891644,0.000369698474029004,0.000615608610652744,0.000213151055227797
"l.posteriorcingulate",-2.9421686746988,-16.204578313253,41.4236144578313,-0.000620532859280952,-0.000287531498330761,0.000308667277881776,0.000403007163317227,0.0000943950695541401
"l.precentral",-40.4243109708911,-4.15500922673969,45.1439371391154,-0.00082865652763283,-0.000165384904898655,0.000361671389566843,0.000523798978767569,0.0000535528138535344
"l.precuneus",-6.83231427697952,-55.8816111280954,40.8780189544482,-0.000666415405757035,-0.000270582802950319,0.000488935455831245,0.00042070389072398,-0.0000324889898972289
"l.rostralanteriorcingulate",-3.25521292217327,40.688986784141,5.33715124816446,-0.000208453699089241,-0.0000539676490630525,0.000315056534365353,0.0000635453369320491,-0.000279436632597761
"l.rostralmiddlefrontal",-31.4314344996699,50.420871451476,18.8897953409412,-0.0008543411585321,-0.000160221917678776,0.000360095077483923,0.000385420651077225,0.000180702937759704
"l.superiorfrontal",-8.949020540412,31.8514610148331,45.8012246960554,-0.000330548934748156,0.000081146949437129,0.000140556734983347,0.000133141624086916,-0.000107568614810129
"l.superiorparietal",-20.9455061830661,-62.6558783503935,53.0282231820602,-0.000891662013110118,-0.000295728786076531,0.00045225612180741,0.000474564837415894,0.000200994436999907
"l.superiortemporal",-51.2735454284895,-5.20458584121525,-3.60647750071654,-0.000813451234162823,-0.000229415809551264,0.000408476235929754,0.000401820550566612,0.000087663794422395
"l.supramarginal",-53.1636964150554,-34.1458749053877,37.2075276955893,-0.00112957532405281,-0.000279262429822156,0.000536964420264778,0.000594002888391969,0.000197703018567281
"l.frontalpole",-4.29315628192033,69.6996935648621,-9.55464759959142,-0.00244660126921026,-0.000237206542584547,0.000504466590259542,0.00142509539597351,0.000668590715304168
"l.temporalpole",-24.4948083067093,15.6757188498403,-35.9580670926518,-0.000281664522420324,-0.000337662344531098,0.0000815134339697156,0.00021503482683431,0.00027293762914674
"l.transversetemporal",-43.9167643610785,-15.9912075029308,9.91324736225088,-0.00104543536990337,-0.000264630624998757,0.000330867626576803,0.000498769676868286,0.000327662145442741
"l.insula",-35.0543084721217,3.61465121892349,2.63975380159305,-0.000585754522406398,-0.000256666144594899,0.000412189827599617,0.000181527187254349,0.000170576591313925
"r.bankssts",56.4603064066852,-40.7743732590529,10.8321727019499,-0.00125968035591823,-0.000422272231950036,0.00057590968497464,0.000691353900673756,0.000405638651388295
"r.caudalanteriorcingulate",7.17597648047039,24.2969340613188,28.7979840403192,-0.000145825869754807,-0.00019273906439105,0.000178223322413352,0.0000854083477950589,0.0000299051480050791
"r.caudalmiddlefrontal",39.3179190751445,14.8343330788527,50.9165666921147,-0.000852835974732815,-0.000156493374981179,0.000319780328009384,0.000352324727771802,0.000223591802960012
"r.cuneus",9.32780513086292,-77.7408655091993,22.7136563876652,-0.00178814566240968,-0.000535561731344862,0.000537924036521178,0.000871738322894066,0.000735097607648828
"r.entorhinal",25.8349973725696,-2.10614818707304,-31.5291644771414,-0.000504200321400322,-0.000209002210758155,0.000329696171091044,0.000258564920730063,0.0000692403534455766
"r.fusiform",37.7355905511811,-37.8190551181102,-21.1842519685039,-0.000768357314285454,-0.000271903193937493,0.000405260182944889,0.000405974649183813,0.00019751207240221
"r.inferiorparietal",46.0943548387097,-65.7602357320099,34.2081265508685,-0.00127534920049126,-0.000361748634971337,0.000538140442208575,0.00059650986301224,0.000390854857003457
"r.inferiortemporal",54.5252826524242,-29.8571824928903,-22.8331136852327,-0.000760372337717436,-0.000271671296219205,0.000496200687917747,0.000370318522691198,0.0000402951700326797
"r.isthmuscingulate",9.54160935350757,-42.5725584594223,22.7747592847318,-0.000647765797614828,-0.000262401898677131,0.00024983413320573,0.000387721485534104,0.000275425087239953
"r.lateraloccipital",35.2696760158496,-85.170072255458,3.14357858752234,-0.000828520696631153,-0.0000769505576175025,0.000318519935067233,0.000299523188272102,0.000187172233248603
"r.lateralorbitofrontal",26.8485112880358,34.2957792561893,-16.5297197077108,-0.000656183452564584,-0.00020461705396097,0.000292290599402867,0.00022413825256852,0.000227433301810984
"r.lingual",16.054427592955,-66.2654109589041,-2.26479941291585,-0.000644041710148696,-0.000132803050878152,0.000298956546825113,0.0003002889845997,0.000144133681031924
"r.medialorbitofrontal",7.73885116535144,40.9697192145348,-14.9328317122408,-0.000575387491971834,-0.0000379310583147009,0.000292456202950787,0.000119915312016059,0.0000809819135195198
"r.middletemporal",61.0872157596306,-20.666101595838,-12.4122289121412,-0.0009620182510048,-0.000309305972021488,0.000535229286481192,0.00052272412147965,0.000105132277923191
"r.parahippocampal",25.5916463909165,-27.6666666666667,-15.9030819140308,-0.000368479962024482,-0.000239116379222648,0.00024443231320197,0.000259572908515244,0.0000842526087093252
"r.paracentral",9.5739493102342,-22.9270131536734,61.3516201475778,-0.0013776331978281,-0.000741570061793541,0.000367851163479089,0.000918485925958717,0.000827976345319919
"r.parsopercularis",50.7788576300085,18.4893435635124,16.2547314578005,-0.000966200450163159,-0.000155234097522317,0.000367941262506385,0.000371716723857807,0.000309635217784945
"r.parsorbitalis",45.3822424892704,44.1309012875536,-11.2762875536481,-0.000928428309089499,-0.000131318117636256,0.000327499211689997,0.000278669094028212,0.000420340724924979
"r.parstriangularis",51.1374324753734,34.9401016841436,4.85827772481729,-0.000933340331704145,-0.000190529408136474,0.000350367085206379,0.00033353726220098,0.000301962301059491
"r.pericalcarine",13.9582859309822,-78.164960182025,9.08342813803565,-0.00127499723563293,-0.000431950232034267,0.000403600883981483,0.000498545565743717,0.000901759262816944
"r.postcentral",48.8187456324249,-18.6563591893781,47.0884870719776,-0.000966513968841843,-0.000300923930891644,0.000369698474029004,0.000615608610652744,0.000213151055227797
"r.posteriorcingulate",7.82599431818182,-14.8496685606061,41.1858428030303,-0.000620532859280952,-0.000287531498330761,0.000308667277881776,0.000403007163317227,0.0000943950695541401
"r.precentral",45.1466524343237,-4.3208800332088,45.4561465931329,-0.00082865652763283,-0.000165384904898655,0.000361671389566843,0.000523798978767569,0.0000535528138535344
"r.precuneus",11.8211985756497,-55.6687627850595,40.7253579816653,-0.000666415405757035,-0.000270582802950319,0.000488935455831245,0.00042070389072398,-0.0000324889898972289
"r.rostralanteriorcingulate",7.56498873027799,39.9117205108941,6.3114199849737,-0.000208453699089241,-0.0000539676490630525,0.000315056534365353,0.0000635453369320491,-0.000279436632597761
"r.rostralmiddlefrontal",36.3043316428605,49.9454240915647,19.7089750151212,-0.0008543411585321,-0.000160221917678776,0.000360095077483923,0.000385420651077225,0.000180702937759704
"r.superiorfrontal",14.0287435241246,33.3503838711691,45.426877223644,-0.000330548934748156,0.000081146949437129,0.000140556734983347,0.000133141624086916,-0.000107568614810129
"r.superiorparietal",26.1792603079101,-61.8876305078747,54.4503627676517,-0.000891662013110118,-0.000295728786076531,0.00045225612180741,0.000474564837415894,0.000200994436999907
"r.superiortemporal",56.9801656749504,-5.92509625481274,-3.03401003383502,-0.000813451234162823,-0.000229415809551264,0.000408476235929754,0.000401820550566612,0.000087663794422395
"r.supramarginal",57.7136823799764,-33.1648344823303,35.6274144463077,-0.00112957532405281,-0.000279262429822156,0.000536964420264778,0.000594002888391969,0.000197703018567281
"r.frontalpole",10.0385582564962,69.3788767812238,-10.674769488684,-0.00244660126921026,-0.000237206542584547,0.000504466590259542,0.00142509539597351,0.000668590715304168
"r.temporalpole",31.7285968028419,17.4230905861456,-34.9616341030195,-0.000281664522420324,-0.000337662344531098,0.0000815134339697156,0.00021503482683431,0.00027293762914674
"r.transversetemporal",48.5340453938585,-16.8985313751669,10.7596795727637,-0.00104543536990337,-0.000264630624998757,0.000330867626576803,0.000498769676868286,0.000327662145442741
"r.insula",39.8403529411765,4.35117647058824,1.84788235294118,-0.000585754522406398,-0.000256666144594899,0.000412189827599617,0.000181527187254349,0.000170576591313925
